Year,DataSeries,Value
2004,Crude Birth Rate,10.3
2004,Gross Reproduction Rate,0.61
2004,Indians,1.34
2004,Malays,2.07
2004,Net Reproduction Rate,0.6
2004,Resident Live-Births,35135
2004,Total Fertility Rate (TFR),1.26
2004,Total Live-Births,37174
2005,15 - 19 Years,7.2
2005,20 - 24 Years,32.5
2005,25 - 29 Years,80.7
2005,30 - 34 Years,89.2
2005,35 - 39 Years,36.8
2005,40 - 44 Years,6.2
2005,45 - 49 Years,0.2
2005,Chinese,1.1
2005,Citizen Live-Births,31706
2005,Crude Birth Rate,10.2
2005,Gross Reproduction Rate,0.61
2005,Indians,1.29
2005,Malays,2.03
2005,Net Reproduction Rate,0.61
2005,Resident Live-Births,35528
2005,Total Fertility Rate (TFR),1.26
2005,Total Live-Births,37492
2006,15 - 19 Years,6.6
2006,20 - 24 Years,30.6
2006,25 - 29 Years,79.6
2006,30 - 34 Years,93.1
2006,35 - 39 Years,38.7
2006,40 - 44 Years,6.4
2006,45 - 49 Years,0.2
2006,Chinese,1.11
2006,Citizen Live-Births,31956
2006,Crude Birth Rate,10.3
2006,Gross Reproduction Rate,0.62
2006,Indians,1.27
2006,Malays,2.02
2006,Net Reproduction Rate,0.61
2006,Resident Live-Births,36272
2006,Total Fertility Rate (TFR),1.28
2006,Total Live-Births,38317
2007,15 - 19 Years,6.1
2007,20 - 24 Years,31.2
2007,25 - 29 Years,78.7
2007,30 - 34 Years,94.4
2007,35 - 39 Years,41.5
2007,40 - 44 Years,6.4
2007,45 - 49 Years,0.2
2007,Chinese,1.14
2007,Citizen Live-Births,32361
2007,Crude Birth Rate,10.3
2007,Gross Reproduction Rate,0.62
2007,Indians,1.25
2007,Malays,1.94
2007,Net Reproduction Rate,0.62
2007,Resident Live-Births,37074
2007,Total Fertility Rate (TFR),1.29
2007,Total Live-Births,39490
2008,15 - 19 Years,6.1
2008,20 - 24 Years,29.1
2008,25 - 29 Years,78.9
2008,30 - 34 Years,94.6
2008,35 - 39 Years,41.5
2008,40 - 44 Years,6.6
2008,45 - 49 Years,0.2
2008,Chinese,1.14
2008,Citizen Live-Births,32423
2008,Crude Birth Rate,10.2
2008,Gross Reproduction Rate,0.62
2008,Indians,1.19
2008,Malays,1.91
2008,Net Reproduction Rate,0.62
2008,Resident Live-Births,37277
2008,Total Fertility Rate (TFR),1.28
2008,Total Live-Births,39826
2009,15 - 19 Years,5
2009,20 - 24 Years,25.4
2009,25 - 29 Years,74.2
2009,30 - 34 Years,90.1
2009,35 - 39 Years,42.6
2009,40 - 44 Years,7
2009,45 - 49 Years,0.3
2009,Chinese,1.08
2009,Citizen Live-Births,31842
2009,Crude Birth Rate,9.9
2009,Gross Reproduction Rate,0.59
2009,Indians,1.14
2009,Malays,1.82
2009,Net Reproduction Rate,0.59
2009,Resident Live-Births,36925
2009,Total Fertility Rate (TFR),1.22
2009,Total Live-Births,39570
2010,15 - 19 Years,4.8
2010,20 - 24 Years,23.3
2010,25 - 29 Years,68.1
2010,30 - 34 Years,86
2010,35 - 39 Years,42.2
2010,40 - 44 Years,6.1
2010,45 - 49 Years,0.3
2010,Chinese,1.02
2010,Citizen Live-Births,30131
2010,Crude Birth Rate,9.3
2010,Gross Reproduction Rate,0.56
2010,Indians,1.13
2010,Malays,1.65
2010,Net Reproduction Rate,0.55
2010,Resident Live-Births,35129
2010,Total Fertility Rate (TFR),1.15
2010,Total Live-Births,37967
2011,15 - 19 Years,4.7
